sensitivity_name,region,climate,site_id,wy2003_name,state,elev_m,temp_bias_c,prec_bias_pct,bias_category
Paradise,Cascades,maritime,679:WA:SNTL,Paradise,WA,1563.624,-0.2406514785920105,-1.842131044216977,LOW_BIAS
Stevens_Pass,Cascades,maritime,791:WA:SNTL,Stevens Pass,WA,1203.96,1.1448590664752476,-4.067222974679179,TEMP_BIAS_ONLY
Crater_Lake,Cascades,maritime,405:OR:SNTL,NOT FOUND,N/A,1974.0,,,NO_DATA
Donner_Summit,Sierra Nevada,maritime,428:CA:SNTL,Css Lab,CA,2101.2912,0.8672189574988811,-19.94183445044575,PRECIP_BIAS_ONLY
Leavitt_Lake,Sierra Nevada,maritime,518:CA:SNTL,Heavenly Valley,CA,2601.1632,0.3266709258356393,-24.482028125078617,PRECIP_BIAS_ONLY
Mammoth_Pass,Sierra Nevada,maritime,574:CA:SNTL,Leavitt Lake,CA,2927.2992,-0.3386046332419866,-17.54359324734212,PRECIP_BIAS_ONLY
Noisy_Basin,Northern Rockies,continental,648:MT:SNTL,NOT FOUND,N/A,1859.0,,,NO_DATA
Marias_Pass,Northern Rockies,continental,609:MT:SNTL,Madison Plateau,MT,2362.2000000000003,-0.779950624559338,-69.01407814589214,PRECIP_BIAS_ONLY
Northeast_Entrance,Northern Rockies,continental,656:MT:SNTL,Mule Creek,MT,2529.84,-0.3684708773527169,-77.44914510686165,PRECIP_BIAS_ONLY
Canyon,Wyoming,continental,384:WY:SNTL,Canyon,WY,2398.7760000000003,-0.6455702094794292,-53.94486870859204,PRECIP_BIAS_ONLY
Togwotee_Pass,Wyoming,continental,822:WY:SNTL,Togwotee Pass,WY,2919.984,0.1719889617126031,-26.767774554496476,PRECIP_BIAS_ONLY
Old_Battle,Wyoming,continental,668:WY:SNTL,North French Creek,WY,3094.6344000000004,1.0366319520181089,-86.58210433070866,BOTH_BIASES
Berthoud_Summit,Colorado Rockies,continental,335:CO:SNTL,Berthoud Summit,CO,3448.5072,-0.6788098977214385,-36.98960301837269,PRECIP_BIAS_ONLY
Loveland_Basin,Colorado Rockies,continental,602:CO:SNTL,Loveland Basin,CO,3482.9496000000004,0.4608082336963701,-23.77303378849796,PRECIP_BIAS_ONLY
Rabbit_Ears,Colorado Rockies,continental,709:CO:SNTL,Rabbit Ears,CO,2868.4728,0.8963808085405445,-20.097651574803127,PRECIP_BIAS_ONLY
Wolf_Creek_Summit,San Juan Mountains,continental,874:CO:SNTL,Wolf Creek Summit,CO,3339.6936,0.3072340954113306,-24.35770256866991,PRECIP_BIAS_ONLY
Schofield_Pass,Colorado Rockies,continental,737:CO:SNTL,Schofield Pass,CO,3247.0344,0.5916225319425595,-18.299204113494437,PRECIP_BIAS_ONLY
Tony_Grove_Lake,Utah,continental,823:UT:SNTL,Tony Grove Lake,UT,2582.8752,,-20.540855480950864,PRECIP_BIAS_ONLY
Brighton,Wasatch,continental,366:UT:SNTL,Brighton,UT,2671.8768,,-12.453315181396713,PRECIP_BIAS_ONLY
Quemazon,Southern Rockies,arid-continental,708:NM:SNTL,Quemazon,NM,2897.7336,1.2213223740331716,-41.89060550837259,BOTH_BIASES
Elk_Cabin,Southern Rockies,arid-continental,922:NM:SNTL,Santa Fe,NM,3494.532,2.062430030685692,-60.40104023694285,BOTH_BIASES
Vacas_Locas,Southern Rockies,arid-continental,858:NM:SNTL,NOT FOUND,N/A,3109.0,,,NO_DATA
